date,nse,prediction,dji,ftse,nikkei,SandP,ssec
20110909,0.156212099,0,-1.042945567,0.409695051,-0.609907317,-1.061217988,0.321170936
20110912,-1.536728301,0,-2.688427847,-2.354326846,-1.819139131,-2.670549233,0
20110913,0.626667745,0,0.62763305,-1.63059841,0.621747472,0.696571753,-1.20199839
20110914,0.487760451,1,0.404384814,0.870044955,0.081239013,0.912006231,0.294621918
20110915,0.993506299,1,1.268528433,1.01985795,1.488625031,1.347980515,-0.079201372
20110916,0.938786768,0,1.6578082,2.114397879,1.342966852,1.718707312,0.448641531
20110919,-0.311747062,0,0.663946094,0.578356321,0,0.570669756,-0.513342431
20110920,0.210653921,1,-0.939084424,-2.027602214,-1.134341012,-0.980258707,-0.167117216
20110921,0.26360842,0,0.06710274,1.980203667,-0.048619622,-0.166100545,0.096419254
20110922,-1.535089855,0,-2.487762069,-1.403879031,-1.122741412,-2.939044248,-0.865551062
20110923,-1.013475775,0,-3.514745072,-4.666809117,0,-3.188312136,-1.278026422
20110926,0.222895588,0,0.350763797,0.499840329,-0.14765497,0.608200949,-0.695920918
20110927,1.442486661,1,2.528713493,0.445250562,1.459258415,2.333614542,0.744066969
20110928,0.688961529,0,1.329517717,4.021715851,-0.023580543,1.068838258,0.506618412
20110929,-0.438747245,1,-1.606603642,-1.443507334,-1.021521754,-2.069113469,-0.570174014
20110930,-0.504441276,0,1.299440327,-0.398456771,0.145722919,0.811422908,0.129153826
20111003,-1.392808375,0,-2.157082762,-1.315414752,-1.520748957,-2.497412909,0
20111004,-0.536137746,0,-2.364804239,-1.033054628,-1.393611763,-2.845102857,0
20111005,0.401286632,0,1.43975442,-2.582208649,0.417562316,2.248844323,0
20111007,2.785553427,1,1.676240537,3.706070162,0.835485013,1.830366465,0
20111010,-0.024549667,1,-0.181689834,0.229434955,0,-0.816330913,0.163566291
20111011,0.809301952,0,2.972674045,1.802617189,1.486469543,3.412498514,2.428831504
20111012,0.740800306,1,-0.147639418,-0.06112243,-0.615588532,0.054400321,-0.554736496
20111013,0.615758717,0,0.898275288,0.854384047,1.074610933,0.979470417,-0.296197066
20111014,-0.40371417,1,-0.35350518,-0.706016392,-0.457199377,-0.29736724,-0.365141273
20111017,0.465678156,0,1.449368074,1.165566738,1.525846821,1.738025805,0.127955745
20111018,-1.344209447,0,-2.12538484,-0.542591414,-1.361090368,-1.936988343,-0.701528572
20111019,0.852605459,1,1.579800035,-0.484669009,0.758871263,2.041871684,0.182335857
20111020,-1.023515562,1,-0.625631669,0.741911337,-0.443890023,-1.264913736,-0.488032329
20111021,0.288693808,0,0.323001973,-1.207414379,-0.035824673,0.455417891,-0.036631057
20111024,1.282190913,0,2.31341928,1.930848258,0.991258992,1.880876486,0.204771475
20111025,0.775741171,1,0.887729222,1.08241553,0.253836144,1.287295861,-0.166012918
20111026,0.449765005,0,-1.737507138,-0.405907651,-1.009550739,-2.004472463,-0.476625301
20111028,2.693298474,1,2.860465285,2.891645238,1.48433771,3.4291438,1.086787982
20111031,-0.033577704,0,0.184792955,-0.202666517,-0.434121545,0.038922926,-0.12759737
20111101,-0.901137686,0,-2.257363167,-2.771191672,-1.197540964,-2.473750309,-0.725977717
